Size(n),2,4,8,16,32,64,128,256,512,1024,2048,4096
Times(ms),1,0,1,0,3,13,80,750,6261,58394,542202,600001
2
Size(n),2,4,8,16,32,64,128,256,512,1024,2048
Times(ms),0,0,2,6,29,262,781,5267,36222,255316,600036
